GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900172675.1	4325068	GCF_900172675.1	4331638	
GCA_900172185.1	4324228	GCF_900172185.1	4351518	
GCA_900172625.1	4323928	GCF_900172625.1	4332218	
GCA_900172565.1	4325288	GCF_900172565.1	4335238	
GCA_900172025.1	4323728	GCF_900172025.1	4332138	
GCA_900172165.1	4324288	GCF_900172165.1	4334838	
GCA_900172035.1	4324068	GCF_900172035.1	4334738	
GCA_900171945.1	4323688	GCF_900171945.1	4351218	
GCA_900172065.1	4322748	GCF_900172065.1	4334158	
GCA_900171905.1	4325828	GCF_900171905.1	4332738	
GCA_900171875.1	4327008	GCF_900171875.1	4351438	
GCA_900172115.1	4325408	GCF_900172115.1	4351278	
GCA_900172665.1	4322408	GCF_900172665.1	4336568	
GCA_900172715.1	4322068	GCF_900172715.1	4333078	
GCA_900172525.1	4323328	GCF_900172525.1	4330738	
GCA_900173115.1	4325568	GCF_900173115.1	4331798	
GCA_900173125.1	4322048	GCF_900173125.1	4333898	
GCA_900172545.1	4324308	GCF_900172545.1	4334178	
GCA_900173045.1	4323468	GCF_900173045.1	4334438	
GCA_900172905.1	4323808	GCF_900172905.1	4332158	
GCA_900173075.1	4322808	GCF_900173075.1	4336008	
GCA_900173025.1	4323408	GCF_900173025.1	4332098	
GCA_900175125.1	4361858	GCF_900175125.1	4377528	
GCA_900173015.1	4322308	GCF_900173015.1	4336528	
GCA_900173545.1	4326608	GCF_900173545.1	4335438	
GCA_900172975.1	4326768	GCF_900172975.1	4336388	
GCA_900173175.1	4325328	GCF_900173175.1	4334538	
GCA_900172555.1	4325188	GCF_900172555.1	4335198	
GCA_900172885.1	4322978	GCF_900172885.1	4332978	
GCA_900173135.1	4326868	GCF_900173135.1	4336408	
GCA_900172785.1	4324888	GCF_900172785.1	4335098	
GCA_900172775.1	4323888	GCF_900172775.1	4333918	
GCA_900173105.1	4326788	GCF_900173105.1	4336848	
GCA_900172925.1	4322228	GCF_900172925.1	4336508	
GCA_900172735.1	4326848	GCF_900172735.1	4333338	
GCA_900172895.1	4325528	GCF_900172895.1	4334578	
GCA_900173245.1	4323868	GCF_900173245.1	4334678	
GCA_900173145.1	4325808	GCF_900173145.1	4335138	
GCA_900173185.1	4322908	GCF_900173185.1	4336048	
GCA_900172755.1	4323268	GCF_900172755.1	4334358	
GCA_900172955.1	4322688	GCF_900172955.1	4335868	
GCA_900173055.1	4324188	GCF_900173055.1	4334138	
GCA_900173165.1	4326588	GCF_900173165.1	4336808	
GCA_900173085.1	4322868	GCF_900173085.1	4333678	
GCA_900173505.1	4325128	GCF_900173505.1	4330198	
GCA_900173065.1	4325168	GCF_900173065.1	4331658	
GCA_900172965.1	4322548	GCF_900172965.1	4334078	
GCA_900172985.1	4325788	GCF_900172985.1	4331878	
GCA_900172695.1	4326208	GCF_900172695.1	4335298	
GCA_900172765.1	4322448	GCF_900172765.1	4334038	
GCA_900172935.1	4325048	GCF_900172935.1	4330158	
GCA_900173095.1	4325548	GCF_900173095.1	4330378	
GCA_900173035.1	4325688	GCF_900173035.1	4333638	
GCA_900172945.1	4325628	GCF_900172945.1	4334598	
GCA_900172585.1	4326948	GCF_900172585.1	4333398	
GCA_900173155.1	4323448	GCF_900173155.1	4330898	
GCA_900172995.1	4326988	GCF_900172995.1	4336888	
GCA_900173005.1	4324588	GCF_900173005.1	4335018	
GCA_900172575.1	4322008	GCF_900172575.1	4499138	
GCA_900175095.1	4363118	GCF_900175095.1	4377408	
GCA_900172645.1	4324968	GCF_900172645.1	4331598	
GCA_900172815.1	4326828	GCF_900172815.1	4335708	
GCA_900173525.1	4323568	GCF_900173525.1	4334618	
GCA_900172615.1	4324948	GCF_900172615.1	4330058	
GCA_900172835.1	4325768	GCF_900172835.1	4351398	
GCA_900172705.1	4326428	GCF_900172705.1	4333018	
GCA_900172725.1	4322368	GCF_900172725.1	4333298	
GCA_900172915.1	4325588	GCF_900172915.1	4335358	
GCA_900172855.1	4326098	GCF_900172855.1	4336228	
GCA_900172865.1	4322768	GCF_900172865.1	4333558	
GCA_900172745.1	4322388	GCF_900172745.1	4335548	
GCA_900172655.1	4324428	GCF_900172655.1	4332398	
GCA_900172805.1	4321968	GCF_900172805.1	4498178	
GCA_900172845.1	4324368	GCF_900172845.1	4334878	
GCA_900172795.1	4322608	GCF_900172795.1	4335828	
GCA_900172825.1	4323748	GCF_900172825.1	4331098	
GCA_900172875.1	4326808	GCF_900172875.1	4335648	
GCA_900172685.1	4322288	GCF_900172685.1	4335478	
GCA_900173235.1	4324388	GCF_900173235.1	4334918	
GCA_900173325.1	4324928	GCF_900173325.1	4332798	
GCA_900173935.1	4326688	GCF_900173935.1	4336828	
GCA_900174295.1	4560598	GCF_900174295.1	4573968	
GCA_900173585.1	4326388	GCF_900173585.1	4336768	
GCA_900173605.1	4326668	GCF_900173605.1	4336368	
GCA_900173805.1	4322588	GCF_900173805.1	4335768	
GCA_900173415.1	4325488	GCF_900173415.1	4335278	
GCA_900173375.1	4325248	GCF_900173375.1	4330258	
GCA_900174245.1	4324908	GCF_900174245.1	4334378	
GCA_900173825.1	4326928	GCF_900173825.1	4335848	
GCA_900174205.1	4325608	GCF_900174205.1	4335378	
GCA_900173985.1	4325968	GCF_900173985.1	4331998	
GCA_900173885.1	4324748	GCF_900173885.1	4331498	
GCA_900173995.1	4325308	GCF_900173995.1	4334518	
GCA_900173755.1	4322708	GCF_900173755.1	4335908	
GCA_900173615.1	4326508	GCF_900173615.1	4335398	
GCA_900173265.1	4323488	GCF_900173265.1	4333798	
GCA_900173275.1	4326408	GCF_900173275.1	4335338	
GCA_900173595.1	4323138	GCF_900173595.1	4333738	
GCA_900174215.1	4325268	GCF_900174215.1	4331698	
GCA_900173355.1	4324868	GCF_900173355.1	4331558	
GCA_900173305.1	4324268	GCF_900173305.1	4334798	
GCA_900174005.1	4323188	GCF_900174005.1	4332618	
GCA_900173745.1	4325928	GCF_900173745.1	4332778	
GCA_900174235.1	4324028	GCF_900174235.1	4332258	
GCA_900173725.1	4325088	GCF_900173725.1	4335158	
GCA_900173945.1	4323988	GCF_900173945.1	4333978	
GCA_900173835.1	4325848	GCF_900173835.1	4330498	
GCA_900174065.1	4323248	GCF_900174065.1	4334298	
GCA_900173625.1	4325508	GCF_900173625.1	4335318	
GCA_900173345.1	4322028	GCF_900173345.1	4333838	
GCA_900173575.1	4327048	GCF_900173575.1	4333458	
GCA_900173765.1	4325108	GCF_900173765.1	4334458	
GCA_900173955.1	4324568	GCF_900173955.1	4331378	
GCA_900174095.1	4321988	GCF_900174095.1	4498998	
GCA_900174055.1	4326328	GCF_900174055.1	4332938	
GCA_900173685.1	4326908	GCF_900173685.1	4335808	
GCA_900175115.1	4362578	GCF_900175115.1	4377568	
GCA_900173925.1	4323608	GCF_900173925.1	4351478	
GCA_900173295.1	4322948	GCF_900173295.1	4334258	
GCA_900173655.1	4327028	GCF_900173655.1	4335888	
GCA_900173665.1	4325148	GCF_900173665.1	4330218	
GCA_900174275.1	4325868	GCF_900174275.1	4331938	
GCA_900173915.1	4325228	GCF_900173915.1	4334498	
GCA_900174365.1	4325388	GCF_900174365.1	4335258	
GCA_900173335.1	4326268	GCF_900173335.1	4336288	
GCA_900173695.1	4325448	GCF_900173695.1	4330358	
GCA_900173495.1	4325748	GCF_900173495.1	4330458	
GCA_900174405.1	4323428	GCF_900174405.1	4330858	
GCA_900173675.1	4322328	GCF_900173675.1	4336548	
GCA_900174415.1	4325988	GCF_900174415.1	4336648	
GCA_900173905.1	4324148	GCF_900173905.1	4331218	
GCA_900174105.1	4324608	GCF_900174105.1	4334278	
GCA_900173485.1	4324988	GCF_900173485.1	4335118	
GCA_900174335.1	4326288	GCF_900174335.1	4336748	
GCA_900174305.1	4323708	GCF_900174305.1	4332118	
GCA_900173635.1	4323058	GCF_900173635.1	4336068	
GCA_900174155.1	4324008	GCF_900174155.1	4334018	
GCA_900173365.1	4326468	GCF_900173365.1	4351558	
GCA_900173785.1	4322508	GCF_900173785.1	4335688	
GCA_900174285.1	4323368	GCF_900174285.1	4334398	
GCA_900174225.1	4323768	GCF_900174225.1	4334658	
GCA_900173795.1	4324528	GCF_900173795.1	4332458	
GCA_900173775.1	4560578	GCF_900173775.1	4573928	
GCA_900174315.1	4323648	GCF_900174315.1	4331078	
GCA_900174075.1	4324708	GCF_900174075.1	4334318	
GCA_900173465.1	4325948	GCF_900173465.1	4330518	
GCA_900173645.1	4321948	GCF_900173645.1	4498778	
GCA_900174085.1	4326018	GCF_900174085.1	4336668	
GCA_900173475.1	4322488	GCF_900173475.1	4335608	
GCA_900173435.1	4324168	GCF_900173435.1	4334778	
GCA_900173395.1	4326968	GCF_900173395.1	4336428	
GCA_900173405.1	4326568	GCF_900173405.1	4336348	
GCA_900173445.1	4324648	GCF_900173445.1	4331418	
GCA_900174185.1	4324688	GCF_900174185.1	4335058	
GCA_900173425.1	4326528	GCF_900173425.1	4333158	
GCA_900173965.1	4325208	GCF_900173965.1	4334478	
GCA_900174265.1	4322788	GCF_900174265.1	4333618	
GCA_900173455.1	4323548	GCF_900173455.1	4330978	
GCA_900173895.1	4322108	GCF_900173895.1	4351358	
GCA_900173975.1	4322568	GCF_900173975.1	4333438	
GCA_900174195.1	4324788	GCF_900174195.1	4335078	
GCA_900174025.1	4326448	GCF_900174025.1	4333098	
GCA_900174145.1	4322208	GCF_900174145.1	4336488	
GCA_900174125.1	4326188	GCF_900174125.1	4336708	
GCA_900174045.1	4322148	GCF_900174045.1	4333938	
GCA_900174255.1	4327068	GCF_900174255.1	4336448	
GCA_900174135.1	4323388	GCF_900174135.1	4333778	
GCA_900173735.1	4322888	GCF_900173735.1	4333718	
GCA_900172435.1	4323968	GCF_900172435.1	4334698	
GCA_900171855.1	4324208	GCF_900171855.1	4351238	
GCA_900171885.1	4322528	GCF_900171885.1	4336608	
GCA_900171955.1	4321928	GCF_900171955.1	4333818	
GCA_900171935.1	4324848	GCF_900171935.1	4332718	
GCA_900172455.1	4324248	GCF_900172455.1	4331258	
GCA_900171895.1	4324108	GCF_900171895.1	4334098	
GCA_900172425.1	4324348	GCF_900172425.1	4331278	
GCA_900171865.1	4324468	GCF_900171865.1	4334958	
GCA_900172145.1	4323828	GCF_900172145.1	4332178	
GCA_900171745.1	4326748	GCF_900171745.1	4351318	
GCA_900171725.1	4325368	GCF_900171725.1	4331718	
GCA_900172175.1	4324088	GCF_900172175.1	4334058	
GCA_900171715.1	4322168	GCF_900171715.1	4333138	
GCA_900171765.1	4325708	GCF_900171765.1	4333698	
GCA_900171995.1	4323308	GCF_900171995.1	4336208	
