GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_902706705.2	28988118	N/A	N/A	
GCA_902706905.2	28988138	N/A	N/A	
GCA_902707025.2	28988158	N/A	N/A	
GCA_902707045.2	28988198	N/A	N/A	
GCA_902712065.2	28988178	N/A	N/A	
GCA_902712045.2	28988218	N/A	N/A	
GCA_902707105.2	28988238	N/A	N/A	
GCA_902707135.2	28988278	N/A	N/A	
GCA_902707285.2	28988258	N/A	N/A	
GCA_902707365.2	28988318	N/A	N/A	
GCA_902707405.2	28988298	N/A	N/A	
GCA_902707695.2	28988378	N/A	N/A	
GCA_902707555.2	28988358	N/A	N/A	
GCA_902707705.2	28988338	N/A	N/A	
GCA_902707815.2	28988418	N/A	N/A	
GCA_902707905.2	28988398	N/A	N/A	
GCA_902707975.2	28988438	N/A	N/A	
GCA_902710085.2	28899528	N/A	N/A	
GCA_902711065.2	28899548	N/A	N/A	
GCA_902708005.2	25821248	N/A	N/A	
GCA_902706665.2	20516098	N/A	N/A	
GCA_902706795.2	20516178	N/A	N/A	
GCA_902706675.2	20516268	N/A	N/A	
GCA_902706745.2	20516328	N/A	N/A	
GCA_902706785.2	20516438	N/A	N/A	
GCA_902706715.2	20516538	N/A	N/A	
GCA_902706765.2	20516608	N/A	N/A	
GCA_902706755.2	20516658	N/A	N/A	
GCA_902706725.2	20516808	N/A	N/A	
GCA_902706655.2	20516868	N/A	N/A	
GCA_902706645.2	20516988	N/A	N/A	
GCA_902706695.2	20517098	N/A	N/A	
GCA_902706775.2	20517168	N/A	N/A	
GCA_902706805.2	20517268	N/A	N/A	
GCA_902706825.2	20517358	N/A	N/A	
GCA_902706685.2	20517458	N/A	N/A	
GCA_902706815.2	20517548	N/A	N/A	
GCA_902706735.2	20517668	N/A	N/A	
GCA_902706835.2	20517768	N/A	N/A	
GCA_902706875.2	20517888	N/A	N/A	
GCA_902707005.2	20518008	N/A	N/A	
GCA_902706845.2	20518048	N/A	N/A	
GCA_902706975.2	20518148	N/A	N/A	
GCA_902706925.2	20518208	N/A	N/A	
GCA_902706855.2	20518308	N/A	N/A	
GCA_902706955.2	20518408	N/A	N/A	
GCA_902706995.2	20518468	N/A	N/A	
GCA_902706885.2	20518568	N/A	N/A	
GCA_902706915.2	20518668	N/A	N/A	
GCA_902706935.2	20518768	N/A	N/A	
GCA_902706965.2	20518848	N/A	N/A	
GCA_902706895.2	20518948	N/A	N/A	
GCA_902706865.2	20519008	N/A	N/A	
GCA_902706985.2	20519108	N/A	N/A	
GCA_902706945.2	20519208	N/A	N/A	
GCA_902707015.2	20519248	N/A	N/A	
GCA_902707035.2	20519358	N/A	N/A	
GCA_902707075.2	20519458	N/A	N/A	
GCA_902707055.2	20519528	N/A	N/A	
GCA_902707095.2	20519648	N/A	N/A	
GCA_902707085.2	20519758	N/A	N/A	
GCA_902707065.2	20519788	N/A	N/A	
GCA_902712025.2	20519908	N/A	N/A	
GCA_902711985.2	20519958	N/A	N/A	
GCA_902712075.2	20520048	N/A	N/A	
GCA_902711975.2	20520128	N/A	N/A	
GCA_902711965.2	20520248	N/A	N/A	
GCA_902712005.2	20520358	N/A	N/A	
GCA_902711995.2	20520468	N/A	N/A	
GCA_902712035.2	20520528	N/A	N/A	
GCA_902712015.2	20520648	N/A	N/A	
GCA_902712055.2	20520758	N/A	N/A	
