Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR972051,7/29/2015 2:41,1/19/2016 20:46,2557905,511581000,2557905,200,261,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972051/ERR972051.1,ERX1049028,13712418,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682817,SAMEA3303992,simple,573,Klebsiella pneumoniae,SAMEA3303992,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,1A9E36F7AC51F6F98A1378D1BEF91AD4,C1683DC3BCB3E1A6A3A7524BBBD6B0F5
ERR972052,7/29/2015 2:41,1/19/2016 20:46,2354819,470963800,2354819,200,242,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972052/ERR972052.1,ERX1049029,13712430,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682818,SAMEA3303993,simple,573,Klebsiella pneumoniae,SAMEA3303993,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,C55D00AE50793E8E384842FE2EA99FA9,B866FC78F25C7E885AB6F8F729A9E2B1
ERR972053,7/29/2015 2:41,1/19/2016 20:47,3113869,622773800,3113869,200,369,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972053/ERR972053.1,ERX1049030,13712442,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682819,SAMEA3303994,simple,573,Klebsiella pneumoniae,SAMEA3303994,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,9F4FF36198C7966FC3B2BA5A3B624F54,4D9189E7B68F905868891BE0EBD041B2
ERR972054,7/29/2015 2:41,1/19/2016 20:47,2799501,559900200,2799501,200,325,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972054/ERR972054.1,ERX1049031,13712454,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682820,SAMEA3303995,simple,244366,Klebsiella variicola,SAMEA3303995,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,BBC75F645DEFB94D31AC82EF16146D81,EB48ECCB51BEA879C867E261F16BA801
ERR972055,7/29/2015 2:41,1/19/2016 20:47,3091401,618280200,3091401,200,332,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972055/ERR972055.1,ERX1049032,13712466,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682821,SAMEA3303996,simple,573,Klebsiella pneumoniae,SAMEA3303996,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,66BCAC36F9741D9A591D762EA51DC7A7,4933AE5E2CC3CC367F243512111FB4CC
ERR972056,7/29/2015 2:41,1/19/2016 20:48,2867284,573456800,2867284,200,332,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972056/ERR972056.1,ERX1049033,13712478,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682822,SAMEA3303997,simple,244366,Klebsiella variicola,SAMEA3303997,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,B69D2F8753AAB27EA188C49CF62E51C6,32CCDC3FDD2AF928C06F3A65D67A7160
ERR972057,7/29/2015 2:41,1/19/2016 20:48,2990257,598051400,2990257,200,364,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972057/ERR972057.1,ERX1049034,13712490,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682823,SAMEA3303998,simple,573,Klebsiella pneumoniae,SAMEA3303998,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,BCF8EF4256C19C51F483A89462A7CF03,2572303DA2E397C1BFE5892DAA2F1FDC
ERR972058,7/29/2015 2:41,1/19/2016 20:43,2950248,590049600,2950248,200,331,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972058/ERR972058.1,ERX1049035,13712502,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682824,SAMEA3303999,simple,573,Klebsiella pneumoniae,SAMEA3303999,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,633717EE57C3756DF1028950307D6AF9,4A0EAFA0B434EB8458C7A11ECE87D4CD
ERR972059,7/29/2015 2:41,1/19/2016 20:42,2599138,519827600,2599138,200,320,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972059/ERR972059.1,ERX1049036,13712419,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682825,SAMEA3304000,simple,573,Klebsiella pneumoniae,SAMEA3304000,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,CDC47D7F65BD0C09A53F93B545F84C84,E90E964A3C157C8DF1A9B43A3014D3AB
ERR972060,7/29/2015 2:41,1/19/2016 20:46,2467089,493417800,2467089,200,302,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972060/ERR972060.1,ERX1049037,13712431,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682826,SAMEA3304001,simple,573,Klebsiella pneumoniae,SAMEA3304001,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,D4294FBF3F4AF5B0CBF0474E7B5B06AC,7DE48FE9BC467637FE6352D48C8A7E79
ERR972061,7/29/2015 2:41,1/19/2016 20:47,2281109,456221800,2281109,200,270,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972061/ERR972061.1,ERX1049038,13712443,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682827,SAMEA3304002,simple,573,Klebsiella pneumoniae,SAMEA3304002,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,371A39A9ADDC69659EF31D934EA230C5,E1ABE3CA25EDF0B105C937DC2C2AFB19
ERR972062,7/29/2015 2:41,1/19/2016 20:47,2606685,521337000,2606685,200,268,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972062/ERR972062.1,ERX1049039,13712455,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682828,SAMEA3304003,simple,573,Klebsiella pneumoniae,SAMEA3304003,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,26B7ABD8164912157264B1CEE3D4A09E,2034AA9C05B35CB03927DC351ACE2BCE
ERR972063,7/29/2015 2:41,1/19/2016 20:43,2823271,564654200,2823271,200,330,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972063/ERR972063.1,ERX1049040,13712467,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682829,SAMEA3304004,simple,573,Klebsiella pneumoniae,SAMEA3304004,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,E00F72C13E06AF2F5DADF901D702913B,85BDC595E9D88D7FD210055FB0BCC63C
ERR972064,7/29/2015 2:41,1/19/2016 20:47,2733748,546749600,2733748,200,300,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972064/ERR972064.1,ERX1049041,13712479,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682830,SAMEA3304005,simple,573,Klebsiella pneumoniae,SAMEA3304005,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,0458A055C0F3A7A73F14D447BE895AE9,18FA094ACAEBC49A1B2FB67F1CC870A0
ERR972065,7/29/2015 2:41,1/19/2016 20:43,2676506,535301200,2676506,200,319,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972065/ERR972065.1,ERX1049042,13712491,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682831,SAMEA3304006,simple,573,Klebsiella pneumoniae,SAMEA3304006,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,DD711BF90897EBB82A9E9F5C6CC3EE4D,E215C6C0D0960D0038C57890B189727C
ERR972066,7/29/2015 2:41,1/19/2016 20:47,2642761,528552200,2642761,200,283,BioProject67293,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR972066/ERR972066.1,ERX1049043,13712503,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,ERP009802,PRJEB8766,,291369,ERS682832,SAMEA3304007,simple,573,Klebsiella pneumoniae,SAMEA3304007,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA461257,,public,403CDDA6E7368737348027C143EF369E,72BDC221A5B0C44D72A57F53CFFAC0F2
