Strain_ID	Portal_of_entry	Collection_ID	Bioproject	Biosample	Assembly	Phylogroup	ST_Warwick	Stc_Warwick	Subgroups*	O_serogroup	H-type
H1-001-0001-M-L	Catheter	2016-7	PRJEB35745	SAMEA6377859	GCA_902706665.2	D	69	STc69	D	O17	H18
H1-001-0002-H-K	Digestive	2016-7	PRJEB35745	SAMEA6377860	GCA_902706795.2	B2	131	STc131	C1	O25b	H4
H1-001-0003-S-J	Digestive	2016-7	PRJEB35745	SAMEA6377861	GCA_902706675.2	C	23	STc88		O8	H9
H1-001-0004-T-P	Urinary	2016-7	PRJEB35745	SAMEA6377862	GCA_902706745.2	B2	1193	STc14		O75	H5
H1-001-0005-R-G	Digestive	2016-7	PRJEB35745	SAMEA6377863	GCA_902706785.2	B2	429	ST429		O83	H4
H1-001-0006-M-A	Urinary	2016-7	PRJEB35745	SAMEA6377864	GCA_902706715.2	D	69	STc69	C	O15	H18
H1-001-0007-H-B	Digestive	2016-7	PRJEB35745	SAMEA6377865	GCA_902706765.2	B2	537	STc14		O75	H5
H1-001-0008-K-S	Digestive	2016-7	PRJEB35745	SAMEA6377866	GCA_902706755.2	B2	73	STc73	F	O25	H1
H1-001-0009-M-P	Digestive	2016-7	PRJEB35745	SAMEA6377867	GCA_902706705.1	B2	357	ST357		O13	H4
H1-001-0010-R-N	Digestive	2016-7	PRJEB35745	SAMEA6377868	GCA_902706725.2	B1	58	STc58		O9	H25
H1-001-0011-M-Y	Digestive	2016-7	PRJEB35745	SAMEA6377869	GCA_902706655.2	B2	131	STc131	A	O16	H5
H1-001-0012-K-B	Pulmonary	2016-7	PRJEB35745	SAMEA6377870	GCA_902706645.2	B1	8093	ST8093		O175	H16
H1-001-0013-L-J	Urinary	2016-7	PRJEB35745	SAMEA6377871	GCA_902706695.2	C	88	STc88		O9	H17
H1-001-0014-F-H	Digestive	2016-7	PRJEB35745	SAMEA6377872	GCA_902706775.2	B2	95	STc95	A	O1	H7
H1-001-0015-A-R	Digestive	2016-7	PRJEB35745	SAMEA6377873	GCA_902706805.2	B1	8096	STc58		O9	H25
H1-001-0016-D-R	Digestive	2016-7	PRJEB35745	SAMEA6377874	GCA_902706825.2	B2	131	STc131	A	O16	H5
H1-001-0017-D-M	Urinary	2016-7	PRJEB35745	SAMEA6377875	GCA_902706685.2	D	362	STc362		O7	H6
H1-001-0018-G-O	Pulmonary	2016-7	PRJEB35745	SAMEA6377876	GCA_902706815.2	B1	1723	ST1723		O112	H16
H1-001-0019-M-A	Urinary	2016-7	PRJEB35745	SAMEA6377877	GCA_902706735.2	A	617	STc10	C	O101	H9
H1-001-0020-M-O	Digestive	2016-7	PRJEB35745	SAMEA6377878	GCA_902706835.2	C	88	STc88		O9	H17
H1-001-0021-V-C	Digestive	2016-7	PRJEB35745	SAMEA6377879	GCA_902706905.1	B2	636	ST636		O83	H7
H1-001-0022-E-J	Catheter	2016-7	PRJEB35745	SAMEA6377880	GCA_902706875.2	D	405	ST405		O102	H6
H1-001-0023-M-D	Digestive	2016-7	PRJEB35745	SAMEA6377881	GCA_902707005.2	B1	58	STc58		O8	H25
H1-001-0024-C-H	Urinary	2016-7	PRJEB35745	SAMEA6377882	GCA_902706845.2	B2	73	STc73	F	O18	H1
H1-001-0025-C-R	Digestive	2016-7	PRJEB35745	SAMEA6377883	GCA_902706975.2	B2	131	STc131	C1	O25b	H4
H1-001-0026-C-O	Digestive	2016-7	PRJEB35745	SAMEA6377884	GCA_902706925.2	B1	120	ST120		O9	H10
H1-001-0027-S-G	Digestive	2016-7	PRJEB35745	SAMEA6377885	GCA_902706855.2	B1	58	STc58		O9	H25
H1-001-0028-E-M	Urinary	2016-7	PRJEB35745	SAMEA6377886	GCA_902706955.2	B2	95	STc95	D	O45	H7
H1-001-0029-V-P	Digestive	2016-7	PRJEB35745	SAMEA6377887	GCA_902706995.2	A	540	STc45		O9	H30
H1-001-0030-D-A	Digestive	2016-7	PRJEB35745	SAMEA6377888	GCA_902706885.2	B1	4641	ST4641		Onovel24	H37
H1-001-0031-C-M	Digestive	2016-7	PRJEB35745	SAMEA6377889	GCA_902706915.2	A	1684	ST1684		Onovel1	H10
H1-001-0032-B-L	Digestive	2016-7	PRJEB35745	SAMEA6377890	GCA_902706935.2	B2	131	STc131	C2	O25b	H4
H1-001-0033-G-M	Urinary	2016-7	PRJEB35745	SAMEA6377891	GCA_902707025.1	B2	95	STc95	D	O1	H7
H1-001-0034-S-M	Digestive	2016-7	PRJEB35745	SAMEA6377892	GCA_902706965.2	G	117	ST117		O24	H4
H1-001-0035-H-A	Digestive	2016-7	PRJEB35745	SAMEA6377893	GCA_902706895.2	B2	8094	STc127		O6	H31
H1-001-0036-E-A	Digestive	2016-7	PRJEB35745	SAMEA6377894	GCA_902706865.2	B2	131	STc131	C2	O25b	H4
H1-001-0037-D-J	Digestive	2016-7	PRJEB35745	SAMEA6377895	GCA_902706985.2	B1	155	STc58		O30	H51
H1-001-0038-C-V	Urinary	2016-7	PRJEB35745	SAMEA6377896	GCA_902706945.2	D	8095	STc362		O7	H6
H1-001-0039-B-E	Digestive	2016-7	PRJEB35745	SAMEA6377897	GCA_902707015.2	B2	104	STc73	A	O22	H1
